gid,jud_code,jud_id,jud_lbl,jud_name,coldep,nume,prezenta,rebel,id_partid,partid,abv_partid
1,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,1,Bogdan Olteanu,53.2500000000,3.9600000000,31.0000000000,PARTIDUL NAȚIONAL LIBERAL,PNL
2,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,2,Daniel Stamate Budurescu,62.8700000000,11.6400000000,31.0000000000,PARTIDUL NAȚIONAL LIBERAL,PNL
3,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,3,Ludovic Orban,43.9200000000,16.6000000000,31.0000000000,PARTIDUL NAȚIONAL LIBERAL,PNL
4,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,4,Costică Canacheu,69.4500000000,0.8800000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
5,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,5,Georgian Pop,51.9300000000,1.4600000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
6,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,6,Rodica Nassar,63.3300000000,2.0800000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
7,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,7,Florian Popa,40.4200000000,3.7900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
8,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,8,Cornelia Brandusa Novac,52.3600000000,1.1600000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
9,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,9,Theodor Paleologu,43.5100000000,1.2600000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
10,B,42.0000000000,BUCUREȘTI,JUDEȚUL MUNICIPIUL BUCUREȘTI,10,Catalin Croitoru,56.2600000000,6.6800000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
