id_presedi,nume,id_partid,partid,abv_partid,jud_id,jud_name,jud_lbl,jud_code
10.0000000000,BÎGIU MARIAN CRISTINEL,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,10,JUDEȚUL BUZĂU,BUZĂU,BZ
12.0000000000,FILIPESCU RĂDUCU-GEORGE,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,12,JUDEȚUL CĂLĂRAȘI,CĂLĂRAȘI,CL
18.0000000000,DOBROVICI-BACALBAȘA NICOLAE,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,18,JUDEȚUL GALAȚI,GALAȚI,GL
23.0000000000,CIUPERCĂ VASILE SILVIAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,23,JUDEȚUL IALOMIȚA,IALOMIȚA,IL
27.0000000000,DUICU IOAN-ADRIAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,27,JUDEȚUL MEHEDINȚI,MEHEDINȚI,MH
20.0000000000,CĂLINOIU I. ION,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,20,JUDEȚUL GORJ,GORJ,GJ
19.0000000000,MUSTĂȚEA VASILE,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,19,JUDEȚUL GIURGIU,GIURGIU,GR
21.0000000000,BORBOLY CSABA,38.0000000000,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,21,JUDEȚUL HARGHITA,HARGHITA,HR
22.0000000000,MOLOȚ MIRCEA-IOAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,22,JUDEȚUL HUNEDOARA,HUNEDOARA,HD
25.0000000000,PETRACHE MARIAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,25,JUDEȚUL ILFOV,ILFOV,IF
30.0000000000,STĂNESCU PAUL,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,30,JUDEȚUL OLT,OLT,OT
31.0000000000,COSMA MIRCEA,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,31,JUDEȚUL PRAHOVA,PRAHOVA,PH
34.0000000000,CINDREA IOAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,34,JUDEȚUL SIBIU,SIBIU,SB
32.0000000000,ȘTEF MIHAI ADRIAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,32,JUDEȚUL SATU MARE,SATU MARE,SM
35.0000000000,NECHIFOR CĂTĂLIN IOAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,35,JUDEȚUL SUCEAVA,SUCEAVA,SV
38.0000000000,TEODORESCU HORIA,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,38,JUDEȚUL TULCEA,TULCEA,TL
36.0000000000,DRAGNEA NICOLAE LIVIU,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,36,JUDEȚUL TELEORMAN,TELEORMAN,TR
41.0000000000,OPRIȘAN MARIAN,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,41,JUDEȚUL VRANCEA,VRANCEA,VN
39.0000000000,BUZATU DUMITRU,62.0000000000,UNIUNEA SOCIAL LIBERALĂ,USL,39,JUDEȚUL VASLUI,VASLUI,VS
