gid,jud_code,jud_id,jud_lbl,jud_name,colsen,nume,prezenta,rebel,id_partid,partid,abv_partid
1,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,1,Sergiu Nicolaescu,41.0000000000,11.2800000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
2,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,2,Crin Antonescu,6.0600000000,0.0000000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
3,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,3,Cristian Diaconescu,25.5800000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
4,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,4,Anca-Daniela Boagiu,35.3700000000,2.3600000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
5,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,5,Vasile Blaga,35.3200000000,2.7600000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
6,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,6,Cristian R?âdulescu,79.5700000000,1.2400000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
7,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,7,Cristian George Topescu,50.3600000000,2.1600000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
8,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,8,Dan Voiculescu,20.8600000000,2.6500000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
9,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,9,C?ât?âlin Voicu,14.0800000000,0.6400000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
10,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,10,Ecaterina Andronescu,61.5300000000,4.1600000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
11,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,11,Radu Alexandru Feldman,63.9600000000,1.4700000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
12,B,42.0000000000,BUCURE?ÿTI,JUDE?ÜUL MUNICIPIUL BUCURE?ÿTI,12,Gabriel Mutu,56.9000000000,3.3900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
13,AB,1.0000000000,ALBA,JUDE?ÜUL ALBA,1,Alexandru Pere?ƒ,81.7700000000,1.6600000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
14,AB,1.0000000000,ALBA,JUDE?ÜUL ALBA,2,Nicolae Dobra,82.8600000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
15,AG,3.0000000000,ARGE?ÿ,JUDE?ÜUL ARGE?ÿ,1,Mircea Diaconu,40.0000000000,3.2800000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
16,AG,3.0000000000,ARGE?ÿ,JUDE?ÜUL ARGE?ÿ,2,Constantin Serban Valeca,43.7700000000,5.4800000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
17,AG,3.0000000000,ARGE?ÿ,JUDE?ÜUL ARGE?ÿ,3,Constantin T?âmag?â,54.2200000000,3.1000000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
18,AG,3.0000000000,ARGE?ÿ,JUDE?ÜUL ARGE?ÿ,4,Mircea Cintez?â,57.0900000000,5.8900000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
19,AR,2.0000000000,ARAD,JUDE?ÜUL ARAD,1,Ovidiu Marian,80.2400000000,2.0700000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
20,AR,2.0000000000,ARAD,JUDE?ÜUL ARAD,2,Avram Craciun,65.8700000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
21,AR,2.0000000000,ARAD,JUDE?ÜUL ARAD,3,Traian Iga?ƒ,59.1400000000,1.4300000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
22,BC,4.0000000000,BAC?éU,JUDE?ÜUL BAC?éU,1,Gabriel Berca,42.2400000000,2.3900000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
23,BC,4.0000000000,BAC?éU,JUDE?ÜUL BAC?éU,2,Vasile Nistor,55.7000000000,5.5400000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
24,BC,4.0000000000,BAC?éU,JUDE?ÜUL BAC?éU,3,Radu C?ât?âlin Mardare,70.6000000000,0.7200000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
25,BC,4.0000000000,BAC?éU,JUDE?ÜUL BAC?éU,4,Elena Mitrea,74.4600000000,2.6100000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
26,BH,5.0000000000,BIHOR,JUDE?ÜUL BIHOR,1,Attila Cseke,48.1100000000,1.4400000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
27,BH,5.0000000000,BIHOR,JUDE?ÜUL BIHOR,2,Cornel Popa,70.5000000000,7.4000000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
28,BH,5.0000000000,BIHOR,JUDE?ÜUL BIHOR,3,Petru Filip,74.9400000000,2.7500000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
29,BH,5.0000000000,BIHOR,JUDE?ÜUL BIHOR,4,Ioan Mang,70.5000000000,1.6900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
30,BN,6.0000000000,BISTRI?ÜA-N?éS?éUD,JUDE?ÜUL BISTRI?ÜA-N?éS?éUD,1,Ioan Sb?«rciu,60.0000000000,1.2200000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
