id_primar,primar,jud_id,jud_code,jud_name,jud_lbl,siruta,uat_name,uat_lbl,id_partid,partid,abv_partid,id_partid_,nume_parti,abv_par_01,colsen,coldep
2167,CIOC?€RLAN SAVU,30,OT,JUDE?†UL OLT,OLT,125374.0000000000,Sl?‰tioara,SL?ŽTIOARA,63.0000000000,UNIUNEA NA?†IONAL?Ž PENTRU PROGRESUL ROM?ŽNIEI,UNPR,63.0000000000,UNIUNEA NA?†IONAL?Ž PENTRU PROGRESUL ROM?ŽNIEI,UNPR,2,3
3175,M?€RZA VIOREL,41,VN,JUDE?†UL VRANCEA,VRANCEA,178689.0000000000,V?—rte?…coiu,V?ŽRTE?ØCOIU,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,4
2750,?ØUN?Ž MARIUS,36,TR,JUDE?†UL TELEORMAN,TELEORMAN,153936.0000000000,Salcia,SALCIA,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,1,1
1443,PETROI ILIE,20,GJ,JUDE?†UL GORJ,GORJ,78604.0000000000,Aninoasa,ANINOASA,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
2209,VL?ŽDU?† MARIN,30,OT,JUDE?†UL OLT,OLT,125846.0000000000,B?—rza,B?ŽRZA,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,4
696,ON?†ANU NECULAI,42,B,JUDE?†UL MUNICIPIUL BUCURE?ØTI,BUCURE?ØTI,179150.0000000000,Bucure?…ti Sectorul 2,BUCURE?ØTI SECTORUL 2,63.0000000000,UNIUNEA NA?†IONAL?Ž PENTRU PROGRESUL ROM?ŽNIEI,UNPR,63.0000000000,UNIUNEA NA?†IONAL?Ž PENTRU PROGRESUL ROM?ŽNIEI,UNPR,"3,4","5,6,7,8,9"
2972,PUCHIN MARIN,40,VL,JUDE?†UL V?ŽLCEA,V?ŽLCEA,174511.0000000000,L?‰custeni,L?ŽCUSTENI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,1,3
543,COJOCARIU ?ØTEFAN,7,BT,JUDE?†UL BOTO?ØANI,BOTO?ØANI,39959.0000000000,Dim?‰cheni,DIM?ŽCHENI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,1,2
1799,LUPU VASILE,24,IS,JUDE?†UL IA?ØI,IA?ØI,98435.0000000000,Pope?…ti,POPE?ØTI,32.0000000000,ALIAN?†A DE CENTRU - DREAPTA PARTIDUL NA?†IONAL LIBERAL - PARTIDUL CONSERVATOR,PNL-PC,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,2,7
2128,?ØCHIOPU PETRIC?Ž,29,NT,JUDE?†UL NEAM?†,NEAM?†,121466.0000000000,B?—rg?‰uani,B?ŽRG?ŽUANI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,6
2213,ANDRONIE FLORENTIN,30,OT,JUDE?†UL OLT,OLT,125999.0000000000,Brebeni,BREBENI,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,3
2176,ISTRATE LUCIIAN,30,OT,JUDE?†UL OLT,OLT,129317.0000000000,T?‰tule?…ti,T?ŽTULE?ØTI,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,1,2
2284,COSTEA DANELU?Ø,31,PH,JUDE?†UL PRAHOVA,PRAHOVA,131577.0000000000,Ora?… Sl?‰nic,SL?ŽNIC,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,4
2202,UDRESCU TUDOR,30,OT,JUDE?†UL OLT,OLT,128105.0000000000,Ora?… Piatra-Olt,PIATRA-OLT,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,3
1507,TRIF ILIE,21,HR,JUDE?†UL HARGHITA,HARGHITA,83936.0000000000,Bilbor,BILBOR,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,5
2974,NICU CONSTANTIN,40,VL,JUDE?†UL V?ŽLCEA,V?ŽLCEA,170612.0000000000,Lalo?…u,LALO?ØU,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,1,3
2204,DAVIDESCU C.NICOLAE - C?ŽT?ŽLIN,30,OT,JUDE?†UL OLT,OLT,128711.0000000000,Ora?… Scornice?…ti,SCORNICE?ØTI,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,1,2
1228,PUP?ŽZ?Ž VALERIC?Ž,17,DJ,JUDE?†UL DOLJ,DOLJ,74859.0000000000,C?—rcea,C?ŽRCEA,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
2181,?ØOTAE EUGEN,30,OT,JUDE?†UL OLT,OLT,129585.0000000000,Tufeni,TUFENI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
2193,VASILE V ION,30,OT,JUDE?†UL OLT,OLT,130062.0000000000,Voineasa,VOINEASA,57.0000000000,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,57.0000000000,PARTIDUL POPORULUI - DAN DIACONESCU,PP-DD,2,4
1283,IONESCU ION,17,DJ,JUDE?†UL DOLJ,DOLJ,74931.0000000000,Ple?…oi,PLE?ØOI,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,3,5
1251,P?ŽP?ŽROIU NOLIC?Ž-CORNEL,17,DJ,JUDE?†UL DOLJ,DOLJ,72409.0000000000,Gherce?…ti,GHERCE?ØTI,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
2238,DOBRE DAN CONSTANTIN,30,OT,JUDE?†UL OLT,OLT,130311.0000000000,Ghimpe?¢eni,GHIMPE?†ENI,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,2,3
2108,IACOB GHEORGHE,29,NT,JUDE?†UL NEAM?†,NEAM?†,124153.0000000000,Sagna,SAGNA,27.0000000000,ALIAN?†A ELECTORAL?Ž POPULAR?Ž PROGRESIST?Ž EUROPEAN?Ž LIBERAL?Ž,A.P.E.L.,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,2,5
1791,GOSPODARU IONU?†,24,IS,JUDE?†UL IA?ØI,IA?ØI,98051.0000000000,Miroslove?…ti,MIROSLOVE?ØTI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,3,5
1920,BURCU S?ŽMION,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,110116.0000000000,Ora?… Strehaia,STREHAIA,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,2,3
1462,DR?ŽGU?ØIN VIOREL,20,GJ,JUDE?†UL GORJ,GORJ,79932.0000000000,Cru?…et,CRU?ØET,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
2574,F?ŽDOR ANGELICA,35,SV,JUDE?†UL SUCEAVA,SUCEAVA,149138.0000000000,Iacobeni,IACOBENI,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,1,9
1217,MORARU ION,17,DJ,JUDE?†UL DOLJ,DOLJ,70968.0000000000,Boto?…e?…ti-Paia,BOTO?ØE?ØTI-PAIA,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,3,5
1272,CEAN?Ž ANA,17,DJ,JUDE?†UL DOLJ,DOLJ,73102.0000000000,Meline?…ti,MELINE?ØTI,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,3,5
461,DEDEAN BORT?Ž?Ø IOAN,6,BN,JUDE?†UL BISTRI?†A-N?ŽS?ŽUD,BISTRI?†A-N?ŽS?ŽUD,34850.0000000000,?Øieu?¢,?ØIEU?†,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,1,4
1343,MIHAI F?ŽNEL,18,GL,JUDE?†UL GALA?†I,GALA?†I,77082.0000000000,Rediu,REDIU,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,5
2939,CURELARU ION,40,VL,JUDE?†UL V?ŽLCEA,V?ŽLCEA,168452.0000000000,Ora?… B?‰lce?…ti,B?ŽLCE?ØTI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,1,3
1360,PATRICHE ?ØTEFAN,18,GL,JUDE?†UL GALA?†I,GALA?†I,77509.0000000000,V?—rlezi,V?ŽRLEZI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,5
1955,BALICA I HORIA,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,112469.0000000000,Izvoru B?—rzii,IZVORU B?ŽRZII,26.0000000000,MI?ØCAREA PENTRU NOUL MEHEDIN?†I,M N MH,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
2196,NI?†?Ž ALEXANDRU,30,OT,JUDE?†UL OLT,OLT,127625.0000000000,Morunglav,MORUNGLAV,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,4
1956,ST?ŽNCIOIU STELIAN,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,112548.0000000000,Jiana,JIANA,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,4
1978,COSTAICHE NISTOR,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,113894.0000000000,V?—njule?¢,V?ŽNJULE?†,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,4
754,STANCIU DUMITRU,10,BZ,JUDE?†UL BUZ?ŽU,BUZ?ŽU,48968.0000000000,R?—mnicelu,R?ŽMNICELU,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,31.0000000000,PARTIDUL NA?†IONAL LIBERAL,PNL,3,3
3012,ST?ŽNESCU ION,40,VL,JUDE?†UL V?ŽLCEA,V?ŽLCEA,173597.0000000000,Sute?…ti,SUTE?ØTI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,1,4
1470,C?€RSTEA GHEORGHE,20,GJ,JUDE?†UL GORJ,GORJ,80506.0000000000,Hurezani,HUREZANI,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
1480,GRIGORIE ?ØT. PETRE,20,GJ,JUDE?†UL GORJ,GORJ,81264.0000000000,Plop?…oru,PLOP?ØORU,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
3017,BRICEAG CONSTANTIN,40,VL,JUDE?†UL V?ŽLCEA,V?ŽLCEA,174085.0000000000,Valea Mare,VALEA MARE,73.0000000000,ALIAN?†A ELECTORAL?Ž PSD-PNL V?ŽLCEA,PSD-PNL VL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,1,3
1924,VL?ŽDU?†I CONSTANTIN,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,110535.0000000000,B?‰l?‰ci?¢a,B?ŽL?ŽCI?†A,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,4
1922,COAND?Ž LUCIAN LAUREN?†IU,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,110571.0000000000,B?—cle?…,B?ŽCLE?Ø,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
1419,GHID?ŽNAC L. MARIN,19,GR,JUDE?†UL GIURGIU,GIURGIU,104831.0000000000,Roata De Jos,ROATA DE JOS,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,4
1945,GHEORGHECI ION,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,111818.0000000000,Godeanu,GODEANU,26.0000000000,MI?ØCAREA PENTRU NOUL MEHEDIN?†I,M N MH,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
3036,PECHEANU GELU,39,VS,JUDE?†UL VASLUI,VASLUI,163618.0000000000,Dr?—nceni,DR?ŽNCENI,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL,3,6
1948,COMAN D GHEORGHE,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,111989.0000000000,Groze?…ti,GROZE?ØTI,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD,2,3
1138,P?ŽRVU VALENTIN,16,DB,JUDE?†UL D?ŽMBOVI?†A,D?ŽMBOVI?†A,68789.0000000000,S?‰lcioara,S?ŽLCIOARA,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,3,7
1980,OVREIU ALEXANDRU,27,MH,JUDE?†UL MEHEDIN?†I,MEHEDIN?†I,113974.0000000000,Voloiac,VOLOIAC,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
852,FURDUI PETRU-NICOLAE,11,CS,JUDE?†UL CARA?Ø-SEVERIN,CARA?Ø-SEVERIN,51449.0000000000,Berzasca,BERZASCA,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,62.0000000000,UNIUNEA SOCIAL LIBERAL?Ž,USL,2,3
